"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000135045",311.173122334645,-0.615922738119956,0.13578697920278,-4.53594845202465,5.73451864496103e-06,0.000110605957909932,"C9orf40"
"ENSG00000135046",12670.6847947461,0.52284072303759,0.0678434496484163,7.7065763275172,1.29237955140021e-14,8.4128938105571e-13,"ANXA1"
"ENSG00000135047",4692.23001746618,0.200970433399535,0.0714316920206553,2.81346315220172,0.0049011002893693,0.0353736129627187,"CTSL"
"ENSG00000135048",3936.61501338337,0.695133884614661,0.0813649386228456,8.54340820973079,1.30320037378781e-17,1.16087717507151e-15,"CEMIP2"
"ENSG00000135049",599.741018661928,-0.0800196438686469,0.143064966437853,-0.559323822323806,0.575940740093324,0.79492738235103,"AGTPBP1"
"ENSG00000135052",9952.87023789506,0.076768924665794,0.061866632505632,1.24087770024989,0.214650931791468,0.48244575755698,"GOLM1"
"ENSG00000135063",221.540261827722,-2.69483974344092,1.30957740732038,-2.05779339837195,0.039609970059136,0.167077568411433,"ENTREP1"
"ENSG00000135069",3929.30971508608,0.114058895056366,0.111387134751169,1.02398625578407,0.305841766746711,0.58108959650221,"PSAT1"
"ENSG00000135070",997.244833059293,0.185073665450317,0.110651836017091,1.67257654379753,0.0944106877105212,0.294589194561482,"ISCA1"
"ENSG00000135074",1484.48092626425,0.291069526307363,0.0967250638322714,3.00924615373839,0.00261896832046626,0.0215436397685985,"ADAM19"
"ENSG00000135077",73.024911854589,0.133531892317029,0.269505667451846,0.495469700431767,0.620268604873532,0.822933447624442,"HAVCR2"
"ENSG00000135083",847.278353215534,0.117281411395407,0.124033769537483,0.945560324682103,0.344372888624432,0.617917958120172,"CCNJL"
"ENSG00000135090",1743.87990815488,0.247441508129624,0.0824287572800347,3.00188327829561,0.00268315033236056,0.0219471539469364,"TAOK3"
"ENSG00000135093",572.693211498709,0.172637735212302,0.120923067084939,1.42766586536411,0.15338805562241,0.395344087524258,"USP30"
"ENSG00000135094",66.1878559093183,2.18961310462526,0.327901448708494,6.67765608614873,2.42793969267854e-11,1.10316454492844e-09,"SDS"
"ENSG00000135100",395.18450643089,-0.111593135235659,0.137039172626584,-0.814315593831973,0.415464178664173,0.679996572541651,"HNF1A"
"ENSG00000135108",1634.91318376512,-0.0238831863047887,0.070222014413586,-0.340109672219371,0.733773938135518,0.884447993087975,"FBXO21"
"ENSG00000135114",212.324687210327,0.333780917429726,0.186942420379996,1.78547446187577,0.0741843901097037,0.252714686871534,"OASL"
"ENSG00000135119",371.698799804864,-0.742420191053377,0.179336315487503,-4.1398206996458,3.47577381318729e-05,0.000543859523465593,"RNFT2"
"ENSG00000135124",2459.93094795659,-0.248280375540514,0.0969088776211002,-2.56199825687028,0.0104071840830489,0.0635316828153658,"P2RX4"
"ENSG00000135127",1153.66285204472,-0.33677849718991,0.154262808343354,-2.18314771270284,0.0290249338663431,0.133462623299099,"BICDL1"
"ENSG00000135148",1810.65851252904,0.194726946209214,0.0765373126169514,2.54420934771736,0.0109525420252167,0.0658709293847059,"TRAFD1"
"ENSG00000135164",2868.28431719288,-0.00303878283177629,0.130083750225272,-0.0233602031500006,0.981362949621719,0.995279960844631,"DMTF1"
"ENSG00000135185",2494.67641654988,-0.019689842488729,0.087733002640906,-0.224429141782827,0.822423397101248,0.927195070503822,"TMEM243"
"ENSG00000135205",241.243024311265,0.240803015544827,0.251940488818851,0.955793237814855,0.339176705406663,0.61292631789388,"CCDC146"
"ENSG00000135211",1327.92700406517,-0.0976985677072042,0.0858088970634317,-1.13855988190809,0.254886769322237,0.528246386424884,"TMEM60"
"ENSG00000135218",21.2354026400759,0.117727141997919,0.480697365567299,0.244909064269538,0.806526843118198,0.920776345056672,"CD36"
"ENSG00000135220",1153.15005116244,0.365641395726205,0.164543259663156,2.22215967080467,0.026272516855206,0.124671686291877,"UGT2A3"
"ENSG00000135241",1587.65567673186,0.298640243419626,0.155350830853866,1.92236013015308,0.0545604587019038,0.20789670759852,"PNPLA8"
"ENSG00000135245",451.483834638697,-1.17237497174431,0.118537521768706,-9.89032800965662,4.58523051267826e-23,6.60468310017698e-21,"HILPDA"
"ENSG00000135249",1699.83103390904,0.245655461885489,0.128568442749951,1.9106979646884,0.0560434065285713,0.211372625180183,"RINT1"
"ENSG00000135250",3141.6460184011,0.147407854810961,0.0880183850089354,1.67473937173463,0.0939853789531308,0.293532684382298,"SRPK2"
"ENSG00000135253",3286.27256985226,0.196458729562201,0.103073386818544,1.90600828813414,0.0566491303456513,0.212604952505733,"KCP"
"ENSG00000135269",5169.77653197557,-0.00853278016798584,0.104686547852144,-0.0815078951694658,0.935038046334853,0.976482040367177,"TES"
"ENSG00000135272",3115.16499757855,0.0303597229141943,0.179485912437956,0.169148221728482,0.865680055895894,0.945317594238701,"MDFIC"
"ENSG00000135297",997.635762562015,0.0598319342459586,0.0883756065700707,0.677018654446456,0.498394118643095,0.743036375955462,"MTO1"
"ENSG00000135298",34.4670989038893,0.326759880906183,0.487920154544016,0.669699494605948,0.503049373932485,0.746633497849224,"ADGRB3"
"ENSG00000135299",605.480692803401,-0.10120550249786,0.123033706086391,-0.822583548176597,0.410744857459221,0.676214769565699,"ANKRD6"
"ENSG00000135314",161.928222928052,-0.377923475006182,0.198433006811306,-1.90453937618129,0.0568399735046516,0.213110552312991,"KHDC1"
"ENSG00000135315",373.30248592714,0.202773342852497,0.159843250194516,1.26857619953134,0.204592257451566,0.469203788261213,"CEP162"
"ENSG00000135316",9771.98292391272,0.130965855535659,0.10283794244401,1.2735168793071,0.202834686791245,0.467283630754331,"SYNCRIP"
"ENSG00000135317",3929.73320981145,0.141502285420868,0.147043964992815,0.962312771066685,0.335892515693477,0.610522372806024,"SNX14"
"ENSG00000135318",1934.2481149027,0.0606180419025127,0.114919934832852,0.527480649816589,0.59785985041602,0.808801717323288,"NT5E"
"ENSG00000135333",60.9622224889028,0.22540522880858,0.332851699691547,0.677194164901252,0.498282769498196,0.742924904456641,"EPHA7"
"ENSG00000135334",2023.47590140862,0.0472625423629406,0.0894581025458193,0.528320420598385,0.597276960634542,0.80846580877699,"AKIRIN2"
"ENSG00000135336",1220.17395091158,-0.308347199702604,0.153889153194209,-2.00369677330974,0.0451025521378886,0.182077685136259,"ORC3"
"ENSG00000135338",409.705264925495,0.629767031910802,0.216554643364482,2.90812065780018,0.00363608017000838,0.0279150256525846,"LCA5"
"ENSG00000135341",2081.94445551162,0.194088403156583,0.127405300880609,1.52339346805093,0.127660295233736,0.354560342749331,"MAP3K7"
"ENSG00000135362",29.0536341712329,0.28683107509834,0.527570485667491,0.543682944536665,0.58665967099724,0.801497236509751,"PRR5L"
"ENSG00000135365",1128.60298096789,-0.0122101140230476,0.0934575733048537,-0.130648738152218,0.896053185659603,0.958691471355768,"PHF21A"
"ENSG00000135372",2552.66871953854,0.122749340086257,0.0639959598219446,1.91807952295397,0.0551009284986662,0.20929490514455,"NAT10"
"ENSG00000135378",363.933069247358,-0.662562350808103,0.194489709526108,-3.40667047332478,0.000657604694414105,0.0069201820432904,"PRRG4"
"ENSG00000135387",9945.62432679959,0.160183546298935,0.0780143960178899,2.05325625109246,0.0400477314543563,0.168260121191141,"CAPRIN1"
"ENSG00000135390",6689.6958547795,0.0168305631035902,0.116725510044463,0.144189244469175,0.885351033864318,0.953772301773861,"ATP5MC2"
"ENSG00000135392",3133.81783690719,0.0505522435684359,0.068883523742784,0.733880045933794,0.463021849428712,0.717313025316334,"DNAJC14"
